Model ID,PubMed ID,Author,Year,Journal,Title,Primary Index Condition,Secondary Index Condition,Outcome,Model Sample Size,Cohort Sample Size,Number of Events,Follow-Up Duration,AUROC,Calibration Reported,Covariates,MH
08-001-04,17586511,Jee,2008,Atherosclerosis,Stroke risk prediction model: a risk profile from the Korean study,Population Sample,N/A,Stroke,777502,777502,29216,Long (> 6 months),0.8165,Yes,"Age, Alcohol Use, BMI, Diabetes, Physical Activity, Smoking, SBP, Total Cholesterol","Adult; Age Distribution; Aged; Aged, 80 and over; Female; Follow-Up Studies; Humans; Incidence; Korea/epidemiology; Male; Middle Aged; National Health Programs/statistics & numerical data; Predictive Value of Tests; *Proportional Hazards Models; Prospective Studies; Risk Factors; Sex Distribution; Stroke/*epidemiology"
08-001-05,17586511,Jee,2008,Atherosclerosis,Stroke risk prediction model: a risk profile from the Korean study,Population Sample,N/A,Stroke,446238,446238,18017,Long (> 6 months),0.8095,Yes,"Age, Alcohol Use, BMI, Diabetes, Physical Activity, Smoking, SBP, Total Cholesterol","Adult; Age Distribution; Aged; Aged, 80 and over; Female; Follow-Up Studies; Humans; Incidence; Korea/epidemiology; Male; Middle Aged; National Health Programs/statistics & numerical data; Predictive Value of Tests; *Proportional Hazards Models; Prospective Studies; Risk Factors; Sex Distribution; Stroke/*epidemiology"
08-001-06,18028368,Huang,2008,Internal Medicine Journal,prognostic factors of spontaneous intracerebral haemorrhage in haemodialysis patients and predictors of 30-day mortality,Stroke,Hemorrhage,Mortality,107,107,72,Short (< 3 months),,No,"Age, GCS Score, Intraventricular Hemorrhage, Glucose, SBP, Volume",Adult; Aged; Cerebral Hemorrhage/*diagnosis/*mortality; Cohort Studies; Female; Hospital Mortality/*trends; Humans; Male; Middle Aged; Predictive Value of Tests; Prognosis; Renal Dialysis/*mortality/*trends; Retrospective Studies; Risk Factors
08-001-07,18063146,Atsma,2008,International Journal of Cardiology,No added value of age at menopause and the lifetime cumulative number of menstrual cycles for cardiovascular risk prediction in postmenopausal women.,Population Sample,N/A,Peripheral Vascular Disease (PVD),960,960,152,Not Reported,0.69,Yes,"Age, BMI, Smoking, Glucose, SBP, Cholesterol",Age Factors; Aged; Aging/physiology; Cardiovascular Diseases/*etiology/physiopathology/*prevention & control; Cohort Studies; Female; Humans; Menopause/physiology; Menstrual Cycle/*physiology; Middle Aged; Postmenopause/*physiology; Predictive Value of Tests; Prospective Studies; Risk Factors
08-001-08,18063146,Atsma,2008,International Journal of Cardiology,No added value of age at menopause and the lifetime cumulative number of menstrual cycles for cardiovascular risk prediction in postmenopausal women.,Population Sample,N/A,Peripheral Vascular Disease (PVD),952,952,152,Not Reported,0.69,No,"Age, Age at Menopause, BMI, Smoking, Glucose, SBP, Cholesterol",Age Factors; Aged; Aging/physiology; Cardiovascular Diseases/*etiology/physiopathology/*prevention & control; Cohort Studies; Female; Humans; Menopause/physiology; Menstrual Cycle/*physiology; Middle Aged; Postmenopause/*physiology; Predictive Value of Tests; Prospective Studies; Risk Factors
08-001-09,18063146,Atsma,2008,International Journal of Cardiology,No added value of age at menopause and the lifetime cumulative number of menstrual cycles for cardiovascular risk prediction in postmenopausal women.,Population Sample,N/A,Peripheral Vascular Disease (PVD),928,928,152,Not Reported,0.68,No,"Age, BMI, Smoking, Glucose, Lifetime Menstrual Cycles, SBP, Cholesterol",Age Factors; Aged; Aging/physiology; Cardiovascular Diseases/*etiology/physiopathology/*prevention & control; Cohort Studies; Female; Humans; Menopause/physiology; Menstrual Cycle/*physiology; Middle Aged; Postmenopause/*physiology; Predictive Value of Tests; Prospective Studies; Risk Factors
08-001-10,18206526,Fiutowski,2008,Heart & Lung,Pulmonary edema prognostic score predicts in-hospital mortality risk in patients with acute cardiogenic pulmonary edema,Congestive Heart Failure (CHF),N/A,Mortality,276,276,58,Short (< 3 months),0.78,No,"AMI, Heart Rate, SBP, WBC","Acute Disease; Adult; Aged; Aged, 80 and over; Diastole; Female; Health Status Indicators; *Hospital Mortality; Humans; Male; Middle Aged; Prognosis; Pulmonary Edema/*mortality; Retrospective Studies; Risk Factors; Shock, Cardiogenic/*etiology/mortality; Systole; Ventricular Dysfunction, Left"
08-001-11,18206738,Goldenberg,2008,Journal of the American College of Cardiology,Risk stratification for primary implantation of a cardioverter-defibrillator in patients with ischemic left ventricular dysfunction,Congestive Heart Failure (CHF),N/A,Mortality,445,445,,Short (< 3 months),,No,"Age, AF, BUN, NYHA Class, QRS","Aged; Death, Sudden, Cardiac/epidemiology/prevention & control; *Defibrillators, Implantable; Female; Humans; Kaplan-Meier Estimate; Male; Middle Aged; Myocardial Infarction/complications/*therapy; Outcome Assessment (Health Care); Proportional Hazards Models; Risk Assessment/*methods; Ventricular Dysfunction, Left/etiology/mortality/*therapy"
08-001-12,18212285,D'Agostino,2008,Circulation,General cardiovascular risk profile for use in primary care: the Framingham Heart Study,Population Sample,N/A,Major Adverse Cardiac Events (MACE),3969,3969,718,Long (> 6 months),0.763,Yes,"Diabetes, Age, HDL Cholesterol, SBP, Antihypertensive Medication, Total Cholesterol, Smoking",Adult; Aged; Algorithms; *Cardiovascular Diseases; Female; Humans; Longitudinal Studies; Male; Middle Aged; Multivariate Analysis; Primary Health Care; Proportional Hazards Models; Risk Assessment/*methods; Risk Factors; Sex Factors
08-001-13,18212285,D'Agostino,2008,Circulation,General cardiovascular risk profile for use in primary care: the Framingham Heart Study,Population Sample,N/A,Major Adverse Cardiac Events (MACE),4522,4522,456,Long (> 6 months),0.793,Yes,"Diabetes, Age, HDL Cholesterol, SBP, Antihypertensive Medication, Total Cholesterol, Smoking",Adult; Aged; Algorithms; *Cardiovascular Diseases; Female; Humans; Longitudinal Studies; Male; Middle Aged; Multivariate Analysis; Primary Health Care; Proportional Hazards Models; Risk Assessment/*methods; Risk Factors; Sex Factors
08-001-14,18216292,Khorana,2008,Blood,Development and validation of a predictive model for chemotherapy-associated thrombosis,Misc,N/A,Venous Thromboembolism (VTE),2701,2701,60,Short (< 3 months),0.7,Yes,"BMI, Hemoglobin, Leukocytes, Platelet, Site of Cancer","Aged; Antineoplastic Agents/*adverse effects; Cohort Studies; Diagnosis, Computer-Assisted/methods; Female; Humans; Logistic Models; Male; Middle Aged; *Models, Biological; Neoplasms/complications; Predictive Value of Tests; Risk Assessment; Thrombosis/*chemically induced"
08-001-15,18217155,Constans,2008,Thrombosis & Haemostasis,A clinical prediction score for upper extremity deep venous thrombosis,Venous Thromboembolism (VTE),Diagnosis,Venous Thromboembolism (VTE),140,140,50,Short (< 3 months),0.7,No,"Pain, Other Diagnosis Plausible, Edema, Venous Material","Adult; Aged; *Decision Support Techniques; Diagnosis, Differential; Edema/etiology; Female; France/epidemiology; Humans; Logistic Models; Male; Middle Aged; Odds Ratio; Pain/etiology; Pain Measurement; Predictive Value of Tests; Prevalence; ROC Curve; Reproducibility of Results; Risk Assessment; Risk Factors; Upper Extremity/*blood supply; Venous Thrombosis/complications/*diagnosis/epidemiology/ultrasonography"
08-001-16,18250266,Mehta,2008,Circulation,Clinical characteristics and in-hospital outcomes of patients with cardiogenic shock undergoing coronary artery bypass surgery: insights from the Society of Thoracic Surgeons National Cardiac Database,Coronary Artery Disease (CAD),Revascularization,Mortality,708593,708593,24092,Short (< 3 months),0.726,Yes,"Age, CABG/Valve, Sex, Immunosuppressive Therapy, IABP, LVEF, MI, Operative Status, Creatinine, Resuscitation, Prior Cardiac Surgery","Aged; Canada/epidemiology; Coronary Artery Bypass/mortality/*statistics & numerical data; Databases, Factual; Female; Heart Rupture, Post-Infarction/epidemiology/surgery; Heart Valve Prosthesis Implantation/mortality/statistics & numerical data; Hospital Mortality; Humans; Male; Middle Aged; Point-of-Care Systems; Postoperative Complications/mortality; Retrospective Studies; Risk; Risk Factors; *Severity of Illness Index; Shock, Cardiogenic/etiology/mortality/*surgery; Treatment Outcome; United States/epidemiology"
08-001-17,18255324,Barnes,2008,European Journal of Vascular & Endovascular Surgery,A model to predict outcomes for endovascular aneurysm repair using preoperative variables,Aortic Diseases,N/A,Technical Success,961,961,890,Moderate (3-6 months),,Yes,"Age, Aneurysm Diameter, Aortic Neck Angle, Atrial Septal Aneurysm, Creatinine, Sex, Infrarenal Neck Diameter/Length","Aneurysm/*therapy; Australia; Humans; Logistic Models; Medical Audit; *Models, Cardiovascular; Predictive Value of Tests; Prognosis; Survival Analysis"
08-001-18,18267231,Stempfle,2008,Journal of Heart & Lung Transplantation,The Munich score: a clinical index to predict survival in ambulatory patients with chronic heart failure in the era of new medical therapies,Congestive Heart Failure (CHF),N/A,Composite (Non-MACE),178,178,86,Long (> 6 months),,No,"Fractional Shortening, Cardiomyopathy Etiology, LV End Diastolic Diameter, Maximum Workload, SBP","Adult; Ambulatory Care/*methods; Analysis of Variance; Chronic Disease; Cohort Studies; Combined Modality Therapy; Confidence Intervals; Echocardiography, Transesophageal; *Exercise Test; Female; Heart Failure/*diagnosis/*mortality/surgery; Heart Function Tests; Heart Transplantation; Hemodynamics; Humans; Male; Middle Aged; Multivariate Analysis; Patient Selection; Predictive Value of Tests; Prognosis; Proportional Hazards Models; Sensitivity and Specificity; *Severity of Illness Index; Survival Analysis"
08-001-19,18280547,Chauleur,2008,Thrombosis Research,Feasibility of an easy-to-use risk score in the prevention of venous thromboembolism and placental vascular complications in pregnant women: a prospective cohort of 2736 women,Pregnancy,N/A,Venous Thromboembolism (VTE),2736,2736,9,Long (> 6 months),,No,"Antithrombin Deficiency, Protein Deficiency, Family History, Obstetric Complications, VTE, Anticoagulant, Lupus","Anti-Inflammatory Agents, Non-Steroidal/therapeutic use; Anticoagulants/therapeutic use; Aspirin/therapeutic use; Cohort Studies; Enoxaparin/therapeutic use; Female; Humans; Placenta/*blood supply; Pregnancy; Pregnancy Complications, Cardiovascular/*diagnosis/*prevention & control; Pregnancy Outcome; Prospective Studies; Risk; Risk Factors; Venous Thromboembolism/*diagnosis/*prevention & control"
08-001-20,18296827,Miura,2008,Circulation Journal,prognosis and prognostic factors in patients with idiopathic dilated cardiomyopathy in Japan,Congestive Heart Failure (CHF),N/A,Mortality,1554,1554,420,Long (> 6 months),,No,"Age, LVDI, LVEF, NYHA Class, Sex","Adult; Age Factors; Aged; Aged, 80 and over; Cardiomyopathy, Dilated/*mortality/*physiopathology; Female; Follow-Up Studies; Health Surveys; Heart Ventricles/pathology/physiopathology; Humans; Japan; Male; Middle Aged; Predictive Value of Tests; Prognosis; Proportional Hazards Models; Sex Factors; Stroke Volume/physiology; Survival Rate"
08-001-21,18358941,Xanthos,2008,American Journal of Emergency Medicine,A prognostic index for the successful use of adenosine in patients with paroxysmal supraventricular tachycardia in emergency settings: a retrospective study,Arrhythmia,N/A,Arrhythmia,321,321,26,Short (< 3 months),0.89,No,"Age, Heart Rate, PSVT Episodes","Adenosine/*therapeutic use; Algorithms; Anti-Arrhythmia Agents/*therapeutic use; Electrocardiography; Emergency Service, Hospital; Female; Humans; Male; Middle Aged; Prognosis; Retrospective Studies; Sensitivity and Specificity; Tachycardia, Supraventricular/*drug therapy; Treatment Outcome; Valsalva Maneuver"
08-001-22,18403738,Konig,2008,Stroke,Predicting long-term outcome after acute ischemic stroke: a simple index works in patients from controlled clinical trials,Stroke,Ischemic,Functional Outcome,4441,4441,1970,Moderate (3-6 months),,No,"Age, NIHSS","Aged; Aged, 80 and over; Brain Ischemia/*epidemiology/rehabilitation; Controlled Clinical Trials as Topic/*statistics & numerical data; Data Interpretation, Statistical; Databases, Factual; Female; Humans; Male; Middle Aged; *Models, Statistical; Predictive Value of Tests; Prognosis; *Severity of Illness Index; Stroke/*epidemiology/rehabilitation; Survival"
08-001-23,18403738,Konig,2008,Stroke,Predicting long-term outcome after acute ischemic stroke: a simple index works in patients from controlled clinical trials,Stroke,Ischemic,Mortality,5419,5419,4441,Moderate (3-6 months),,No,"Age, NIHSS","Aged; Aged, 80 and over; Brain Ischemia/*epidemiology/rehabilitation; Controlled Clinical Trials as Topic/*statistics & numerical data; Data Interpretation, Statistical; Databases, Factual; Female; Humans; Male; Middle Aged; *Models, Statistical; Predictive Value of Tests; Prognosis; *Severity of Illness Index; Stroke/*epidemiology/rehabilitation; Survival"
08-001-24,18410812,Garcia-Almagro,2008,American Journal of Emergency Medicine,prognostic value of the Thrombolysis in Myocardial Infarction risk score in a unselected population with chest pain. Construction of a new predictive model,Chest Pain,Acute Coronary Syndrome (ACS),Major Adverse Cardiac Events (MACE),711,711,71,Moderate (3-6 months),,No,"Age, Aspirin, LVEF, Cardiac Markers, Diabetes, CAD Risk Factors, CAD, ST Segment Deviation","Aged; Angina Pectoris/*diagnosis; Chest Pain/*etiology; Female; *Health Status Indicators; Humans; Male; Middle Aged; Models, Cardiovascular; Predictive Value of Tests; Prognosis; Prospective Studies; Risk Assessment"
08-001-25,18430204,Yang,2008,Cardiovascular Diabetology,Development and validation of a risk score for hospitalization for heart failure in patients with Type 2 diabetes mellitus,Population Sample,Diabetes Mellitus,Congestive Heart Failure (CHF),3456,7067,131,Long (> 6 months),,No,"Age, Hemoglobin, BMI, CHD, HbA1c, Albumin to Creatinine Ratio","Aged; Cohort Studies; Diabetes Mellitus, Type 2/*epidemiology; Female; Follow-Up Studies; Heart Failure/*epidemiology; Hong Kong/epidemiology; Hospitalization/*statistics & numerical data; Humans; Male; Middle Aged; Predictive Value of Tests; Registries/standards; Reproducibility of Results; Risk Factors; Sensitivity and Specificity"
08-001-26,18436792,Miniati,2008,American Journal of Respiratory & Critical Care Medicine,Simple and accurate prediction of the clinical probability of pulmonary embolism,Venous Thromboembolism (VTE),Diagnosis,Venous Thromboembolism (VTE),1100,1100,440,diagnosis,0.9,No,"Acute Cor Pulmonale, Age, CVD, Chest Pain, Crackles, DVT, Dyspnea, Syncope, Fever, Hemoptysis, Immobilization, Leg Swelling, Sex, Orthopnea, Pulmonary Disease, Wheezing","Adolescent; Adult; Aged; Aged, 80 and over; *Diagnosis, Computer-Assisted; Electrocardiography; Female; Humans; Male; Middle Aged; Odds Ratio; Physical Examination; Pulmonary Embolism/*diagnosis; ROC Curve; *Severity of Illness Index; Software"
08-001-27,18482294,Huynh,2008,Journal of the American Geriatrics Society,Identification of older patients with heart failure who may be candidates for hospice care: development of a simple four-item risk score.,Congestive Heart Failure (CHF),N/A,Mortality,282,282,43,Moderate (3-6 months),0.8,No,"PAD, Sodium, Serum Urea Nitrogen, SBP",Aged; Female; Heart Failure/*diagnosis/mortality; *Hospice Care; Humans; Logistic Models; Male; Multivariate Analysis; *Patient Selection; Predictive Value of Tests; Randomized Controlled Trials as Topic; Risk Assessment; *Severity of Illness Index; United States/epidemiology
08-001-28,18510965,Matthews,2008,Journal of the American College of Cardiology,The right ventricular failure risk score a pre-operative tool for assessing the risk of right ventricular failure in left ventricular assist device candidates,Congestive Heart Failure (CHF),N/A,Right Ventricular Failure,197,197,68,Short (< 3 months),0.73,No,"AST, Bilirubin, Creatinine, Vasopressor Requirement",Databases as Topic; Female; Health Status Indicators; Heart Failure/complications/*diagnosis/mortality; Heart Ventricles/*physiopathology; Heart-Assist Devices/*adverse effects; Hemodynamics; Humans; Male; Middle Aged; Odds Ratio; Phenylephrine; *Preoperative Care; Prospective Studies; ROC Curve; Risk Assessment; Risk Factors; Vasopressins
08-001-29,18513521,Madan,2008,American Heart Journal,Predicting major adverse cardiac events after percutaneous coronary intervention: the Texas Heart Institute risk score,Coronary Artery Disease (CAD),Revascularization,Major Adverse Cardiac Events (MACE),9494,9494,264,NR,0.701,Yes,"Stents, AMI, CHF, PCI, Hypertension, PVD, Renal Insufficiency, Thrombus, Type C Lesion, UA","Aged; Aged, 80 and over; Angioplasty, Balloon, Coronary/*adverse effects; Coronary Artery Bypass; Female; Forecasting; Humans; Male; Middle Aged; Postoperative Complications/*etiology; Risk Assessment; Risk Factors; Texas"
08-001-30,18573589,Nishiuchi,2008,Resuscitation,Survival rate and factors associated with 1-month survival of witnessed out-of-hospital cardiac arrest of cardiac origin with ventricular fibrillation and pulseless ventricular tachycardia: the Utstein Osaka project,Cardiac Arrest,N/A,Mortality,1028,1028,202,Short (< 3 months),0.74,No,"Age, Time to Defibrillation, Time to CPR, Time to Arrival, Sex, Witnessed Arrest","Adolescent; Adult; Aged; Electrocardiography; Emergency Medical Services; Female; Heart Arrest/etiology/*mortality/*physiopathology; Humans; Japan; Male; Middle Aged; Predictive Value of Tests; Risk Factors; Survival Rate; Tachycardia, Ventricular/*complications/*mortality/physiopathology; Ventricular Fibrillation/*complications/*mortality/physiopathology; Young Adult"
08-001-31,18591403,Cederholm,2008,Diabetes Care,Risk prediction of cardiovascular disease in type 2 diabetes: a risk equation from the Swedish National Diabetes Register,Population Sample,Diabetes Mellitus,Composite (Non-MACE),11646,11646,990,Long (> 6 months),0.7,Yes,"HbA1c, SBP, BMI, Diabetes, Age, Antihypertensive Therapy, Lipid Lowering Therapy, Sex, Smoking","Adolescent; Adult; Aged; Diabetes Mellitus, Type 2/*complications; Diabetic Angiopathies/*epidemiology/mortality; Female; Follow-Up Studies; Humans; Male; Middle Aged; Predictive Value of Tests; Probability; Registries; Risk Assessment; Survival Analysis; Sweden/epidemiology; Time Factors"
08-001-32,18591432,Wilson,2008,Circulation,Prediction of first events of coronary heart disease and stroke with consideration of adiposity,Population Sample,N/A,Major Adverse Cardiac Events (MACE),4780,4780,492,Long (> 6 months),0.813,No,"Age, BMI, Cholesterol, Smoking, Diabetes, Sex, SBP",*Adiposity; Adult; Body Mass Index; Cholesterol/blood; Coronary Disease/diagnosis/*epidemiology; Diabetes Mellitus; Humans; Hypertension; Male; Middle Aged; *Predictive Value of Tests; Risk Assessment; Risk Factors; Stroke/diagnosis/*epidemiology
08-001-33,18591432,Wilson,2008,Circulation,Prediction of first events of coronary heart disease and stroke with consideration of adiposity,Population Sample,N/A,Composite (Non-MACE),4780,4780,492,Long (> 6 months),0.804,No,"Age, Cholesterol, Smoking, SBP",*Adiposity; Adult; Body Mass Index; Cholesterol/blood; Coronary Disease/diagnosis/*epidemiology; Diabetes Mellitus; Humans; Hypertension; Male; Middle Aged; *Predictive Value of Tests; Risk Assessment; Risk Factors; Stroke/diagnosis/*epidemiology
08-001-34,18612534,Ruiz-Gimenez,2008,Thrombosis & Haemostasis,Predictive variables for major bleeding events in patients presenting with documented acute venous thromboembolism. Findings from the RIETE Registry,Venous Thromboembolism (VTE),N/A,Hemorrhage,13057,19274,314,Moderate (3-6 months),,No,"Age, Anemia, Cancer, PE, Creatinine, Major Bleed","Acute Disease; Age Factors; Aged; Aged, 80 and over; Anemia/complications; Anticoagulants/*adverse effects; Argentina/epidemiology; Creatinine/blood; Europe/epidemiology; Female; Hemorrhage/blood/*chemically induced/epidemiology; Humans; Incidence; Israel/epidemiology; Likelihood Functions; Logistic Models; Male; Middle Aged; Patient Selection; Prospective Studies; Pulmonary Embolism/complications; Registries; Reproducibility of Results; Risk Assessment; Risk Factors; Time Factors; Treatment Outcome; Venous Thromboembolism/blood/*drug therapy/epidemiology"
08-001-35,18616825,Reddy,2008,BMC Medical Informatics & Decision Making,Logical Analysis of Data (LAD) model for the early diagnosis of acute ischemic stroke,Stroke,Ischemic,Stroke,80,80,48,Not Reported,0.826,No,Peptide Types,"Acute Disease; Aged; Aged, 80 and over; Algorithms; Biomarkers/*blood; Brain Ischemia/blood/*diagnosis; Case-Control Studies; Early Diagnosis; Female; Humans; Logistic Models; Male; *Models, Theoretical; Observer Variation; Predictive Value of Tests; Proteomics; Reference Values; Reproducibility of Results; Severity of Illness Index; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization; Stroke/blood/classification/*diagnosis"
08-001-36,18652942,Abraham,2008,Journal of the American College of Cardiology,Predictors of in-hospital mortality in patients hospitalized for heart failure: insights from the Organized Program to Initiate Lifesaving Treatment in Hospitalized Patients with Heart Failure (OPTIMIZE-HF),Congestive Heart Failure (CHF),N/A,Mortality,48612,48612,1834,Short (< 3 months),0.77,Yes,"Race, Age, ACE Inhibitor, Beta Blocker, COPD, DBP, HF, Heart Rate, Hyperlipidemia, LVSD, Liver Disease, PVD, CVA, Creatinine, Smoking, Sodium, SBP",Aged; Analysis of Variance; Blood Pressure; Creatinine/blood; Female; Heart Failure/*mortality; *Hospital Mortality; Hospitalization; Humans; Male; Nomograms; Regression Analysis; *Risk Assessment
08-001-37,18721509,Baran,2008,American Journal of Cardiology,A clinical risk score for prediction of stent thrombosis,Coronary Artery Disease (CAD),Revascularization,Stent Thrombosis,2487,2487,53,Long (> 6 months),0.819,Yes,"Diabetes, Stent, Lesion Length, Calcification, Vessel Diameter, Smoking, Thienopyridine","*Blood Vessel Prosthesis; *Coated Materials, Biocompatible; Coronary Angiography; Coronary Restenosis/*epidemiology/radiography; Follow-Up Studies; Graft Occlusion, Vascular/*epidemiology/radiography; Humans; Incidence; Male; Middle Aged; Prosthesis Failure; ROC Curve; Risk Factors; Severity of Illness Index; *Stents; United States/epidemiology"
08-001-38,18762707,Teramoto,2008,Circulation Journal,Practical risk prediction tools for coronary heart disease in mild to moderate hypercholesterolemia in Japan: originated from the MEGA study data,Population Sample,Hyperlipidemia,Major Adverse Cardiac Events (MACE),7832,7832,138,Long (> 6 months),,No,"Age, Smoking, Diet, Glucose, Hypertension, HDL Cholesterol, LDL Cholesterol, Sex","Adult; Aged; Blood Glucose/metabolism; Blood Pressure; Cholesterol, HDL/blood; Coronary Disease/*epidemiology; Female; *Health Status Indicators; Humans; Hypercholesterolemia/complications/*epidemiology; Hypertension/epidemiology; Japan/epidemiology; Male; Postmenopause; Prospective Studies; Smoking/epidemiology; Young Adult"
08-001-39,18926148,O'Connor,2008,American Heart Journal,Predictors of mortality after discharge in patients hospitalized with heart failure: an analysis from the Organized Program to Initiate Lifesaving Treatment in Hospitalized Patients with Heart Failure (OPTIMIZE-HF),Congestive Heart Failure (CHF),N/A,Mortality,4402,4402,358,Short (< 3 months),0.723,Yes,"Creatinine, Sodium, SBP, Age, Beta Blocker, Depression, Liver Disease, LE Edema, Reactive Airway Disease, Statin, Weight","Adrenergic beta-Antagonists/therapeutic use; Aged; Aged, 80 and over; Blood Pressure; Female; Heart Failure/drug therapy/*mortality/physiopathology; Hospitalization; Humans; Hypolipidemic Agents/therapeutic use; Male; Middle Aged; Nomograms; Patient Readmission; Prognosis; Proportional Hazards Models; Registries; Risk Assessment"
08-001-40,18955684,Lou,2008,Neurology,The HAT Score: a simple grading scale for predicting hemorrhage after thrombolysis,Stroke,Ischemic,Stroke,302,302,46,Short (< 3 months),0.7,No,"Diabetes or Glucose, Hypodensity on CT, NIHSS","Aged; Aged, 80 and over; Cerebral Hemorrhage/*chemically induced/*diagnosis; Cohort Studies; Disability Evaluation; Female; Humans; Male; Middle Aged; Predictive Value of Tests; Prognosis; ROC Curve; Reproducibility of Results; Risk; *Severity of Illness Index; Stroke/drug therapy; Tissue Plasminogen Activator/*adverse effects"
08-001-41,18980456,Schonwetter,2008,Journal of Palliative Medicine,Predicting emergency room visits and hospitalizations among hospice patients with cardiac disease,Coronary Artery Disease (CAD),Stable,Hospitalization,145,145,65,Short (< 3 months),0.877,Yes,"Diabetes, Medication Compliance, Morphine, Nursing Visits, PVD, Caregiver Presence, Hospice Kit, Race","Attitude to Health; *Emergency Service, Hospital; Heart Diseases/*therapy; Hospice Care/*methods/standards; *Hospitalization; Humans; Logistic Models; *Models, Statistical; Palliative Care/*methods/standards; Probability; Quality-Adjusted Life Years; Retrospective Studies"
08-001-42,18997194,Ridker,2008,Circulation,C-reactive protein and parental history improve global cardiovascular risk prediction: the Reynolds Risk Score for men,Population Sample,N/A,Major Adverse Cardiac Events (MACE),10724,10724,1294,Long (> 6 months),0.699,No,"Age, Smoking, HDL Cholesterol, SBP, Total Cholesterol",Biomarkers/blood; C-Reactive Protein/*metabolism; Cardiovascular Diseases/blood/*epidemiology/*genetics; Female; Follow-Up Studies; Humans; Inflammation/blood/physiopathology; Life Style; Likelihood Functions; Male; Predictive Value of Tests; Prospective Studies; Risk Assessment; Sex Characteristics
08-001-43,18997194,Ridker,2008,Circulation,C-reactive protein and parental history improve global cardiovascular risk prediction: the Reynolds Risk Score for men,Population Sample,N/A,Major Adverse Cardiac Events (MACE),10724,10724,1294,Long (> 6 months),0.708,No,"Age, Smoking, HDL Cholesterol, CRP, Family History, SBP, Total Cholesterol",Biomarkers/blood; C-Reactive Protein/*metabolism; Cardiovascular Diseases/blood/*epidemiology/*genetics; Female; Follow-Up Studies; Humans; Inflammation/blood/physiopathology; Life Style; Likelihood Functions; Male; Predictive Value of Tests; Prospective Studies; Risk Assessment; Sex Characteristics
08-001-44,19059108,Fitzpatrick,2008,Journal of Heart & Lung Transplantation,A risk score derived from preoperative data analysis predicts the need for biventricular mechanical circulatory support,Congestive Heart Failure (CHF),N/A,Right Ventricular Failure,266,266,99,Short (< 3 months),,No,"Cardiac Index, Creatinine, Previous Cardiac Surgery, RV Stroke Work Index, VAD RV Dysfunction, SBP","Adult; Aged; Blood Pressure; Diabetes Complications/epidemiology; Equipment Design; Female; Heart Failure/*physiopathology/surgery; *Heart Transplantation; *Heart-Assist Devices/adverse effects; Hemodynamics; Humans; Male; Middle Aged; Predictive Value of Tests; Pulmonary Disease, Chronic Obstructive/epidemiology; Retrospective Studies; Risk Assessment; Risk Factors; Ventricular Dysfunction, Left/epidemiology/physiopathology/*surgery; Ventricular Dysfunction, Right/physiopathology/*surgery; Ventricular Function, Right"
08-001-45,19157168,Maracy,2008,Acta Cardiologica,"Risk scores in ischaemic heart disease patients with type 2 diabetes, Isfahan, Iran",Population Sample,Diabetes Mellitus,Coronary Artery Disease (CAD),2101,2101,773,Not Reported,0.65,No,"Age, BMI, Duration, BP, Sex",Aged; Cross-Sectional Studies; Diabetic Angiopathies/*epidemiology; Female; Humans; Iran/epidemiology; Logistic Models; Male; Middle Aged; Myocardial Ischemia/*epidemiology; Odds Ratio; ROC Curve; Risk Assessment; Sensitivity and Specificity
13-001-66,23522221,Rankin,2013,Annals of Thoracic Surgery,The Society of Thoracic Surgeons risk model for operative mortality after multiple valve surgery,Valve Disease,N/A,Mortality,4510,50231,593,Short (< 3 months),0.706,Yes,"AF Ablation, Age, CHF, NYHA Class, Lung Disease, CABG, Creatinine, Diabetes, Mitral Replacement, Cardiac Surgery, Status",
08-001-46,19229423,Gabriel,2008,Revista Brasileira de Cirurgia Cardiovascular: Orgao Oficial da Sociedade Brasileira de Cirurgia Cardiovascular,First inflammatory risk score for aortic endoprostheses,Aortic Diseases,N/A,Technical Success,25,25,,Short (< 3 months),,No,"Preoperative IL-8, Crystalloid Volume",Aortic Aneurysm/blood/physiopathology/*surgery; Blood Vessel Prosthesis Implantation/*adverse effects; Blood Volume/physiology; Cell Adhesion Molecules/blood; Female; Follow-Up Studies; Humans; Inflammation Mediators/*blood; Interleukin-8/blood; Logistic Models; Male; Postoperative Care; Preoperative Care; ROC Curve; Risk Assessment; Systemic Inflammatory Response Syndrome/*etiology
08-001-47,19284086,Mocan,2008,Romanian Journal of Internal Medicine,A new prediction score for myocardial infarction: MINF SCORE,Population Sample,Hospital,Myocardial Infarction (MI),208,208,104,Not Reported,0.745,No,"Age, CRP, Lipoprotein A, LDL Cholesterol, SBP","Adult; Aged; Aged, 80 and over; C-Reactive Protein/metabolism; Cross-Sectional Studies; Female; *Health Status Indicators; Humans; Lipids/blood; Male; Middle Aged; Myocardial Infarction/blood/*diagnosis/*etiology; Predictive Value of Tests; Reproducibility of Results; Risk Assessment; Risk Factors"
